Control Framework,Control Short Name,Control Long Name,Control Description,Supplemental Guidance,Control Number,Control Family,Control Class,Control Priority
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 11.1.2,PCI Data Security Standard v3.2.1 - 11.1.2,Implement incident response procedures in the event unauthorized wireless access points are detected.,"Implementation and/or exploitation of wireless technology within a network are some of the most common paths for malicious users to gain access to the network and cardholder data. If a wireless device or network is installed without a company’s knowledge, it can allow an attacker to easily and “invisibly” enter the network. Unauthorized wireless devices may be hidden within or attached to a computer or other system component, or be attached directly to a network port or network device, such as a switch or router. Any such unauthorized device could result in an unauthorized access point into the environment.

Knowing which wireless devices are authorized can help administrators quickly identify nonauthorized wireless devices, and responding to the identification of unauthorized wireless access points helps to proactively minimize the exposure of CDE to malicious individuals.

Due to the ease with which a wireless access point can be attached to a network, the difficulty in detecting their presence, and the increased risk presented by unauthorized wireless devices, these processes must be performed even when a policy exists prohibiting the use of wireless technology.

The size and complexity of a particular environment will dictate the appropriate tools and processes to be used to provide sufficient assurance that a rogue wireless access point has not been installed in the environment.",11.1.2,Regularly Monitor and Test Networks,Requirement 11: Regularly test security systems and processes,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 11.2,PCI Data Security Standard v3.2.1 - 11.2,"Run internal and external network vulnerability scans at least quarterly and after any significant change in the network (such as new system component installations, changes in network topology, firewall rule modifications, product upgrades).

Note: Multiple scan reports can be combined for the quarterly scan process to show that all systems were scanned and all applicable vulnerabilities have been addressed. Additional documentation may be required to verify non-remediated vulnerabilities are in the process of being addressed. 

For initial PCI DSS compliance, it is not required that four quarters of passing scans be completed if the assessor verifies 1) the most recent scan result was a passing scan, 2) the entity has documented policies and procedures requiring quarterly scanning, and 3) vulnerabilities noted in the scan results have been corrected as shown in a re-scan(s). For subsequent years after the initial PCI DSS review, four quarters of passing scans must have occurred.","A vulnerability scan is a combination of automated or manual tools, techniques, and/or methods run against external and internal network devices and servers, designed to expose potential vulnerabilities that could be found and exploited by malicious individuals.

There are three types of vulnerability scanning required for PCI DSS:

• Internal quarterly vulnerability scanning by qualified personnel (use of a PCI SSC Approved Scanning Vendor (ASV) is not required)

• External quarterly vulnerability scanning, which must be performed by an ASV

• Internal and external scanning as needed after significant changes

Once these weaknesses are identified, the entity corrects them and repeats the scan until all vulnerabilities have been corrected.

Identifying and addressing vulnerabilities in a timely manner reduces the likelihood of a vulnerability being exploited and potential compromise of a system component or cardholder data.",11.2,Regularly Monitor and Test Networks,Requirement 11: Regularly test security systems and processes,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 11.2.1,PCI Data Security Standard v3.2.1 - 11.2.1,Perform quarterly internal vulnerability scans. Address vulnerabilities and perform rescans to verify all “high risk” vulnerabilities are resolved in accordance with the entity’s vulnerability ranking (per Requirement 6.1). Scans must be performed by qualified personnel.,"An established process for identifying vulnerabilities on internal systems requires that vulnerability scans be conducted quarterly. Vulnerabilities posing the greatest risk to the environment (for example, ranked “High” per Requirement 6.1) should be resolved with the highest priority.

Internal vulnerability scans can be performed by
qualified, internal staff that are reasonably
independent of the system component(s) being
scanned (for example, a firewall administrator
should not be responsible for scanning the
firewall), or an entity may choose to have internal
vulnerability scans performed by a firm specializing
in vulnerability scanning.",11.2.1,Regularly Monitor and Test Networks,Requirement 11: Regularly test security systems and processes,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 11.2.2,PCI Data Security Standard v3.2.1 - 11.2.2,"Perform quarterly external vulnerability scans, via an Approved Scanning Vendor (ASV) approved by the Payment Card Industry Security Standards Council (PCI SSC). Perform rescans as needed, until passing scans are achieved.

Note: Quarterly external vulnerability scans must be performed by an Approved Scanning Vendor (ASV), approved by the Payment Card Industry Security Standards Council (PCI SSC). Refer to the ASV Program Guide published on the PCI SSC website for scan customer responsibilities, scan preparation, etc.","As external networks are at greater risk of compromise, quarterly external vulnerability scanning must be performed by a PCI SSC Approved Scanning Vendor (ASV).

A robust scanning program ensures that scans are performed and vulnerabilities addressed in a timely manner.",11.2.2,Regularly Monitor and Test Networks,Requirement 11: Regularly test security systems and processes,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 11.2.3,PCI Data Security Standard v3.2.1 - 11.2.3,"Perform internal and external scans, and rescans as needed, after any significant change. Scans must be performed by qualified personnel.","The determination of what constitutes a significant change is highly dependent on the configuration of a given environment. If an upgrade or modification could allow access to cardholder data or affect the security of the cardholder data environment, then it could be considered significant.

Scanning an environment after any significant changes are made ensures that changes were completed appropriately such that the security of the environment was not compromised as a result of the change. All system components affected by the change will need to be scanned.",11.2.3,Regularly Monitor and Test Networks,Requirement 11: Regularly test security systems and processes,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 11.3,PCI Data Security Standard v3.2.1 - 11.3,"Implement a methodology for penetration testing that includes the following:
•  Is based on industry-accepted penetration testing approaches (for example, NIST SP800-115)
•  Includes coverage for the entire CDE perimeter and critical systems
•  Includes testing from both inside and outside the network
•  Includes testing to validate any segmentation and scope-reduction controls
•  Defines application-layer penetration tests to include, at a minimum, the vulnerabilities listed in Requirement 6.5
•  Defines network-layer penetration tests to include components that support network functions as well as operating systems
•  Includes review and consideration of threats and vulnerabilities experienced in the last 12 months
•  Specifies retention of penetration testing results and remediation activities results.","The intent of a penetration test is to simulate a real-world attack situation with a goal of identifying how far an attacker would be able to penetrate into an environment. This allows an entity to gain a better understanding of their potential exposure and develop a strategy to defend against attacks.

A penetration test differs from a vulnerability scan, as a penetration test is an active process that may include exploiting identified vulnerabilities. Conducting a vulnerability scan may be one of the first steps a penetration tester will perform in order to plan the testing strategy, although it is not the only step. Even if a vulnerability scan does not detect known vulnerabilities, the penetration tester will often gain enough knowledge about the system to identify possible security gaps.

Penetration testing is generally a highly manual process. While some automated tools may be used, the tester uses their knowledge of systems to penetrate into an environment. Often the tester will chain several types of exploits together with a goal of breaking through layers of defenses. For example, if the tester finds a means to gain access to an application server, they will then use the compromised server as a point to stage a new attack based on the resources the server has access to. In this way, a tester is able to simulate the methods performed by an attacker to identify areas of potential weakness in the environment.",11.3,Regularly Monitor and Test Networks,Requirement 11: Regularly test security systems and processes,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 11.3.1,PCI Data Security Standard v3.2.1 - 11.3.1,"Perform external penetration testing at least annually and after any significant infrastructure or application upgrade or modification (such as an operating system upgrade, a sub-network added to the environment, or a web server added to the environment).","Penetration testing conducted on a regular basis and after significant changes to the environment is a proactive security measure that helps minimize potential access to the CDE by malicious individuals.

The determination of what constitutes a significant upgrade or modification is highly dependent on the configuration of a given environment. If an upgrade or modification could allow access to cardholder data or affect the security of the cardholder data environment, then it could be considered significant. Performing penetration tests after network upgrades and modifications provides assurance that the controls assumed to be in place are still working effectively after the upgrade or modification.",11.3.1,Regularly Monitor and Test Networks,Requirement 11: Regularly test security systems and processes,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 11.3.2,PCI Data Security Standard v3.2.1 - 11.3.2,"Perform internal penetration testing at least annually and after any significant infrastructure or application upgrade or modification (such as an operating system upgrade, a sub-network added to the environment, or a web server added to the environment). ","Penetration testing conducted on a regular basis and after significant changes to the environment is a proactive security measure that helps minimize potential access to the CDE by malicious individuals.

The determination of what constitutes a significant upgrade or modification is highly dependent on the configuration of a given environment. If an upgrade or modification could allow access to cardholder data or affect the security of the cardholder data environment, then it could be considered significant. Performing penetration tests after network upgrades and modifications provides assurance that the controls assumed to be in place are still working effectively after the upgrade or modification.",11.3.2,Regularly Monitor and Test Networks,Requirement 11: Regularly test security systems and processes,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 11.3.3,PCI Data Security Standard v3.2.1 - 11.3.3,Exploitable vulnerabilities found during penetration testing are corrected and testing is repeated to verify the corrections.,"Penetration testing conducted on a regular basis and after significant changes to the environment is a proactive security measure that helps minimize potential access to the CDE by malicious individuals.

The determination of what constitutes a significant upgrade or modification is highly dependent on the configuration of a given environment. If an upgrade or modification could allow access to cardholder data or affect the security of the cardholder data environment, then it could be considered significant. Performing penetration tests after network upgrades and modifications provides assurance that the controls assumed to be in place are still working effectively after the upgrade or modification.",11.3.3,Regularly Monitor and Test Networks,Requirement 11: Regularly test security systems and processes,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 11.3.4,PCI Data Security Standard v3.2.1 - 11.3.4,"If segmentation is used to isolate the CDE from other networks, perform penetration tests at least annually and after any changes to segmentation controls/methods to verify that the segmentation methods are operational and effective, and isolate all out-of-scope systems from systems in the CDE.","Penetration testing is an important tool to confirm that any segmentation in place to isolate the CDE from other networks is effective. The penetration testing should focus on the segmentation controls, both from outside the entity’s network and from inside the network but outside of the CDE, to confirm that they are not able to get through the segmentation controls to access the CDE. For example, network testing and/or scanning for open ports, to verify no connectivity between in-scope and out-of-scope networks.",11.3.4,Regularly Monitor and Test Networks,Requirement 11: Regularly test security systems and processes,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 11.3.4.1,PCI Data Security Standard v3.2.1 - 11.3.4.1,"Additional requirement for service providers only:  If segmentation is used, confirm PCI DSS scope by performing penetration testing on segmentation controls at least every six months and after any changes to segmentation controls/methods. ","For service providers, validation of PCI DSS scope should be performed as frequently as possible to ensure PCI DSS scope remains up to date and aligned with changing business objectives.",11.3.4.1,Regularly Monitor and Test Networks,Requirement 11: Regularly test security systems and processes,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 11.4,PCI Data Security Standard v3.2.1 - 11.4,"Use intrusion-detection and/or intrusion-prevention techniques to detect and/or prevent intrusions into the network. Monitor all traffic at the perimeter of the cardholder data environment as well as at critical points in the cardholder data environment, and alert personnel to suspected compromises.
Keep all intrusion-detection and prevention engines, baselines, and signatures up to date.","Intrusion detection and/or intrusion prevention techniques (such as IDS/IPS) compare the traffic coming into the network with known “signatures” and/or behaviors of thousands of compromise types (hacker tools, Trojans, and other malware), and send alerts and/or stop the attempt as it happens. Without a proactive approach to unauthorized activity detection, attacks on (or misuse of) computer resources could go unnoticed in real time. Security alerts generated by these techniques should be monitored so that the attempted intrusions can be stopped.",11.4,Regularly Monitor and Test Networks,Requirement 11: Regularly test security systems and processes,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 11.5,PCI Data Security Standard v3.2.1 - 11.5,"Deploy a change-detection mechanism (for example, file-integrity monitoring tools) to alert personnel to unauthorized modification (including changes, additions, and deletions) of critical system files, configuration files, or content files; and configure the software to perform critical file comparisons at least weekly.

Note: For change-detection purposes, critical files are usually those that do not regularly change, but the modification of which could indicate a system compromise or risk of compromise. Change-detection mechanisms such as file-integrity monitoring products usually come pre-configured with critical files for the related operating system. Other critical files, such as those for custom applications, must be evaluated and defined by the entity (that is, the merchant or service provider).","Change-detection solutions such as file-integrity monitoring (FIM) tools check for changes, additions, and deletions to critical files, and notify when such changes are detected. If not implemented properly and the output of the change-detection solution monitored, a malicious individual could add, remove, or alter configuration file contents, operating system programs, or application executables. Unauthorized changes, if undetected, could render existing security controls ineffective and/or result in cardholder data being stolen with no perceptible impact to normal processing.",11.5,Regularly Monitor and Test Networks,Requirement 11: Regularly test security systems and processes,4 - Monitor and control access to your systems
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 11.5.1,PCI Data Security Standard v3.2.1 - 11.5.1,Implement a process to respond to any alerts generated by the change-detection solution.,,11.5.1,Regularly Monitor and Test Networks,Requirement 11: Regularly test security systems and processes,4 - Monitor and control access to your systems
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 11.6,PCI Data Security Standard v3.2.1 - 11.6,"Ensure that security policies and operational procedures for security monitoring and testing are documented, in use, and known to all affected parties.",Personnel need to be aware of and following security policies and operational procedures for security monitoring and testing on a continuous basis.,11.6,Regularly Monitor and Test Networks,Requirement 11: Regularly test security systems and processes,4 - Monitor and control access to your systems
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.1,PCI Data Security Standard v3.2.1 - 12.1,"Establish, publish, maintain, and disseminate a security policy.",A company's information security policy creates the roadmap for implementing security measures to protect its most valuable assets. All personnel should be aware of the sensitivity of data and their responsibilities for protecting it.,12.1,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.1.1,PCI Data Security Standard v3.2.1 - 12.1.1,Review the security policy at least annually and update the policy when the environment changes.,"Security threats and protection methods evolve rapidly. Without updating the security policy to reflect relevant changes, new protection measures to fight against these threats are not addressed.",12.1.1,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.2,PCI Data Security Standard v3.2.1 - 12.2,"Implement a risk-assessment process that:
•  Is performed at least annually and upon significant changes to the environment (for example, acquisition, merger, relocation, etc.),
•  Identifies critical assets, threats, and vulnerabilities, and
•  Results in a formal, documented analysis of risk.

Examples of risk-assessment methodologies include but are not limited to OCTAVE, ISO 27005 and NIST SP 800-30.","A risk assessment enables an organization to identify threats and associated vulnerabilities with the potential to negatively impact their business. Examples of different risk considerations include cybercrime, web attacks, and POS malware. Resources can then be effectively allocated to implement controls that reduce the likelihood and/or the potential impact of the threat being realized.

Performing risk assessments at least annually and upon significant changes allows the organization to keep up to date with organizational changes and evolving threats, trends, and technologies.",12.2,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,1 - Remove sensitive authentication data and limit data retention
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.3,PCI Data Security Standard v3.2.1 - 12.3,"Develop usage policies for critical technologies and define proper use of these technologies.

  Note: Examples of critical technologies include, but are not limited to, remote access and wireless technologies, laptops, tablets, removable electronic media, e-mail usage and Internet usage.

Ensure these usage policies require the following:","Personnel usage policies can either prohibit use of certain devices and other technologies if that is company policy, or provide guidance for personnel as to correct usage and implementation. If usage policies are not in place, personnel may use the technologies in violation of company policy, thereby allowing malicious individuals to gain access to critical systems and cardholder data.",12.3,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.3.1,PCI Data Security Standard v3.2.1 - 12.3.1,Explicit approval by authorized parties,"Without requiring proper approval for implementation of these technologies, individual personnel may innocently implement a solution to a perceived business need, but also open a huge hole that subjects critical systems and data to malicious individuals.",12.3.1,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.3.2,PCI Data Security Standard v3.2.1 - 12.3.2,Authentication for use of the technology,"If technology is implemented without proper authentication (user IDs and passwords, tokens, VPNs, etc.), malicious individuals may easily use this unprotected technology to access critical systems and cardholder data.",12.3.2,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.3.3,PCI Data Security Standard v3.2.1 - 12.3.3,A list of all such devices and personnel with access,Malicious individuals may breach physical security and place their own devices on the network as a “back door.” Personnel may also bypass procedures and install devices. An accurate inventory with proper device labeling allows for quick identification of non-approved installations.,12.3.3,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.3.4,PCI Data Security Standard v3.2.1 - 12.3.4,"A method to accurately and readily determine owner, contact information, and purpose (for example, labeling, coding, and/or inventorying of devices)","Malicious individuals may breach physical security and place their own devices on the network as a “back door.” Personnel may also bypass procedures and install devices. An accurate inventory with proper device labeling allows for quick identification of non-approved installations. Consider establishing an official naming convention for devices, and log all devices with established inventory controls. Logical labeling may be employed with information such as codes that can correlate the device to its owner, contact information, and purpose.",12.3.4,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.3.5,PCI Data Security Standard v3.2.1 - 12.3.5,Acceptable uses of the technology,"By defining acceptable business use and location of company-approved devices and technology, the company is better able to manage and control gaps in configurations and operational controls, to ensure a “back door” is not opened for a malicious individual to gain access to critical systems and cardholder data.",12.3.5,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.3.6,PCI Data Security Standard v3.2.1 - 12.3.6,Acceptable network locations for the technologies,"By defining acceptable business use and location of company-approved devices and technology, the company is better able to manage and control gaps in configurations and operational controls, to ensure a “back door” is not opened for a malicious individual to gain access to critical systems and cardholder data.",12.3.6,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.3.7,PCI Data Security Standard v3.2.1 - 12.3.7,List of company-approved products,"By defining acceptable business use and location of company-approved devices and technology, the company is better able to manage and control gaps in configurations and operational controls, to ensure a “back door” is not opened for a malicious individual to gain access to critical systems and cardholder data.",12.3.7,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.3.8,PCI Data Security Standard v3.2.1 - 12.3.8,Automatic disconnect of sessions for remote-access technologies after a specific period of inactivity,"Remote-access technologies are frequent ""back doors"" to critical resources and cardholder data. By disconnecting remote-access technologies when not in use (for example, those used to support your systems by your POS vendor, other vendors, or business partners), access and risk to networks is minimized.",12.3.8,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.3.9,PCI Data Security Standard v3.2.1 - 12.3.9,"Activation of remote-access technologies for vendors and business partners only when needed by vendors and business partners, with immediate deactivation after use","Remote-access technologies are frequent ""back doors"" to critical resources and cardholder data. By disconnecting remote-access technologies when not in use (for example, those used to support your systems by your POS vendor, other vendors, or business partners), access and risk to networks is minimized.",12.3.9,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.3.10,PCI Data Security Standard v3.2.1 - 12.3.10,"For personnel accessing cardholder data via remote-access technologies, prohibit the copying, moving, and storage of cardholder data onto local hard drives and removable electronic media, unless explicitly authorized for a defined business need.
Where there is an authorized business need, the usage policies must require the data be protected in accordance with all applicable PCI DSS Requirements. ","To ensure all personnel are aware of their responsibilities to not store or copy cardholder data onto their local personal computers or other media, your policy should clearly prohibit such activities except for personnel that have been explicitly authorized to do so. Storing or copying cardholder data onto a local hard drive or other media must be in accordance with all applicable PCI DSS requirements.",12.3.10,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.4,PCI Data Security Standard v3.2.1 - 12.4,Ensure that the security policy and procedures clearly define information security responsibilities for all personnel.,"Without clearly defined security roles and responsibilities assigned, there could be inconsistent interaction with the security group, leading to unsecured implementation of technologies or use of outdated or unsecured technologies.",12.4,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.4.1,PCI Data Security Standard v3.2.1 - 12.4.1,"Additional requirement for service providers only:  Executive management shall establish responsibility for the protection of cardholder data and a PCI DSS compliance program to include: 
• Overall accountability for maintaining PCI DSS compliance 
• Defining a charter for a PCI DSS compliance program and communication to executive management  ","Executive management assignment of PCI DSS compliance responsibilities ensures executivelevel visibility into the PCI DSS compliance program and allows for the opportunity to ask appropriate questions to determine the effectiveness of the program and influence strategic priorities. Overall responsibility for the PCI DSS compliance program may be assigned to individual roles and/or to business units within the organization.

Executive management may include C-level positions, board of directors, or equivalent. The specific titles will depend on the particular organizational structure. The level of detail provided to executive management should be appropriate for the particular organization and the intended audience.",12.4.1,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.5,PCI Data Security Standard v3.2.1 - 12.5,Assign to an individual or team the following information security management responsibilities:,"Each person or team with responsibilities for information security management should be clearly aware of their responsibilities and related tasks, through specific policy. Without this accountability, gaps in processes may open access into critical resources or cardholder data.

Entities should also consider transition and/or succession plans for key personnel to avoid potential gaps in security assignments, which could result in responsibilities not being assigned and therefore not performed.",12.5,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.5.1,PCI Data Security Standard v3.2.1 - 12.5.1,"Establish, document, and distribute security policies and procedures.","Each person or team with responsibilities for information security management should be clearly aware of their responsibilities and related tasks, through specific policy. Without this accountability, gaps in processes may open access into critical resources or cardholder data. Entities should also consider transition and/or succession plans for key personnel to avoid potential gaps in security assignments, which could result in responsibilities not being assigned and therefore not performed.",12.5.1,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.5.2,PCI Data Security Standard v3.2.1 - 12.5.2,"Monitor and analyze security alerts and information, and distribute to appropriate personnel.","Each person or team with responsibilities for information security management should be clearly aware of their responsibilities and related tasks, through specific policy. Without this accountability, gaps in processes may open access into critical resources or cardholder data. Entities should also consider transition and/or succession plans for key personnel to avoid potential gaps in security assignments, which could result in responsibilities not being assigned and therefore not performed.",12.5.2,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.5.3,PCI Data Security Standard v3.2.1 - 12.5.3,"Establish, document, and distribute security incident response and escalation procedures to ensure timely and effective handling of all situations.","Each person or team with responsibilities for information security management should be clearly aware of their responsibilities and related tasks, through specific policy. Without this accountability, gaps in processes may open access into critical resources or cardholder data. Entities should also consider transition and/or succession plans for key personnel to avoid potential gaps in security assignments, which could result in responsibilities not being assigned and therefore not performed.",12.5.3,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.5.4,PCI Data Security Standard v3.2.1 - 12.5.4,"Administer user accounts, including additions, deletions, and modifications.","Each person or team with responsibilities for information security management should be clearly aware of their responsibilities and related tasks, through specific policy. Without this accountability, gaps in processes may open access into critical resources or cardholder data. Entities should also consider transition and/or succession plans for key personnel to avoid potential gaps in security assignments, which could result in responsibilities not being assigned and therefore not performed.",12.5.4,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.5.5,PCI Data Security Standard v3.2.1 - 12.5.5,Monitor and control all access to data.,"Each person or team with responsibilities for information security management should be clearly aware of their responsibilities and related tasks, through specific policy. Without this accountability, gaps in processes may open access into critical resources or cardholder data. Entities should also consider transition and/or succession plans for key personnel to avoid potential gaps in security assignments, which could result in responsibilities not being assigned and therefore not performed.",12.5.5,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.6,PCI Data Security Standard v3.2.1 - 12.6,Implement a formal security awareness program to make all personnel aware of the cardholder data security policy and procedures.,"If personnel are not educated about their security responsibilities, security safeguards and processes that have been implemented may become ineffective through errors or intentional actions.",12.6,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.6.1,PCI Data Security Standard v3.2.1 - 12.6.1,"Educate personnel upon hire and at least annually.

Note: Methods can vary depending on the role of the personnel and their level of access to the cardholder data.","If the security awareness program does not include periodic refresher sessions, key security processes and procedures may be forgotten or bypassed, resulting in exposed critical resources and cardholder data.",12.6.1,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.6.2,PCI Data Security Standard v3.2.1 - 12.6.2,Require personnel to acknowledge at least annually that they have read and understood the security policy and procedures.,"Requiring an acknowledgement by personnel in writing or electronically helps ensure that they have read and understood the security policies/procedures, and that they have made and will continue to make a commitment to comply with these policies.",12.6.2,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.7,PCI Data Security Standard v3.2.1 - 12.7,"Screen potential personnel prior to hire to minimize the risk of attacks from internal sources. (Examples of background checks include previous employment history, criminal record, credit history, and reference checks.)

Note: For those potential personnel to be hired for certain positions such as store cashiers who only have access to one card number at a time when facilitating a transaction, this requirement is a recommendation only.",Performing thorough background investigations prior to hiring potential personnel who are expected to be given access to cardholder data reduces the risk of unauthorized use of PANs and other cardholder data by individuals with questionable or criminal backgrounds.,12.7,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 12.8,PCI Data Security Standard v3.2.1 - 12.8,"Maintain and implement policies and procedures to manage service providers, with whom cardholder data is shared, or that could affect the security of cardholder data, as follows ","If a merchant or service provider shares cardholder data with a service provider, certain requirements apply to ensure continued protection of this data will be enforced by such service providers.

Some examples of the different types of service providers include backup tape storage facilities, managed service providers such as web-hosting companies or security service providers, entities that receive data for fraud-modeling purposes, etc.",12.8,Maintain an Information Security Policy,Requirement 12: Maintain a policy that addresses information security for all personnel,"2 - Protect systems and networks, and be prepared to respond to a system breach"
